video_title,channel,author,text,likes,replies,primary,all,length,published_at
혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@김정의-f6q,"올해 70인데 저도 생일은 굳이 챙기지 않고지냅니다, 저와 같은 생각을 가진 분들이 많이 계시네요, 전혀 섭섭한 마음도 없습니다, 모두들 건강하세요~^^",1796,28,정체성확인,정체성확인|자기참조,85,2026-04-03
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@salmon_ing,나도 겁나 겉도는 인간이고 나만 늘 겉도니까 나는 이상한 사람이라고 스스로 낙인 찍었다가 어느날부터 관찰을 시작했는데 다른 사람들도 어마무시하게 이상하고 그냥 겁나 이상해도 낯 안 가리는 사람이 인싸인 경우도 많아서 모든 인간은 이상하다로 관점이 바뀜 그리고 내가 봤을 때 어떤 애는 다른 집단이었으면 인싸각이었는데 집단 내에서 분위기가 이상하게 형성되면 따돌림을 당하기도 해서 어디서 제외당한다는게 객관적으로 그 사람이 별로라는 증거도 아니더라 그리고 관찰하면 재밌음 현실 속에서 군상극 보는 느낌,1767,11,자기서사,지식|정체성확인|자기서사|자기참조|실용요청,279,2026-01-17
나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@잎싹이-l7l,40대중반 넘어가는 아이들 엄마입니다. 갈수록 인간관계에 너무 스트레스를 받아 혼자 있는시간을 갖다보니 점점 늘고 편안하더라구요. 그러다 나홀로 있는게 너무좋다보니 내가 이상한게 아닌가 싶었는데 ~~제자신에게 용기를 주는 귀한 내용입니다. 저를 소중하게 여길수있어서 감사드려요^^,1733,49,자기서사,자기서사|자기참조,156,2023-09-18
혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@wooseungkim5463,1.청소하기 2.빨래하기 3.냉장고 정리 4.옷장 정리 5.수납장 정리 6. 책상 정리 7.신발장 정리 8.싱크대 정리 9.가스렌지주변 주방정리 10. 청소기 바닥 청소 (물걸레 청소 포함) 11. 음악듣기 12. 책보기 13. 낮잠자기 14. 유튜브 시청 15. 영화감상 16. 멍잡기 할게 넘무많음. 밖에 돌아다니면 기빨림.,1714,82,자기참조,자기참조,183,2023-11-05
나이들수록 혼자가 편해지는 이유. 친구 없이 혼자서 행복해지는 방법 ㅣ Ep. 26 책과사람 (서경석 개그맨 1부),책과삶,@김창우-t2v,부모장례식장? 자식결혼식에 사람없는거? 없으면 어때? 장례식장 사람많으면 혼란스럽기만하지~ 그냥 친한친척사람 몇명과 조용히 보내드리는게 더좋음,1692,90,자기서사,자기서사,79,2025-08-25
혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@슈타인할트,남에게 혹여나 무례하게 굴 일도 없이 피곤하게 만들 일도 없이 혼자서 스스로 자가발전이 가능한 사람이란 얼마나 훌륭한 사람인가..,1691,12,기타,,72,2023-10-17
은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@thrma0518,괴로워도 도망갈수가 없음...그게 핵심,1686,30,기타,,21,2024-04-08
혼자가 더 편한 회피형 특징,놀면서 배우는 심리학,@yjj4669,답답한 회피형이라기보다는 이것저것 해보고 경험해 보니 더 이상 인간의 기대감이 없는 거죠,1666,22,기타,,49,2024-08-01
"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@Sirius-z8s,"개인주의는 나를 존중하면서도, 타인을 침범하지 않는 자유의 균형임.",1586,22,자기참조,자기참조,37,2025-07-12
혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@칼라스callas,기념일 진짜 관심없어요 ㅎㅎㅎㅎ 😂,1565,7,기타,,20,2026-04-03
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@shepearlroma,가정교육을 틱톡으로 씨밬ㅋㅋ,1557,0,기타,,15,2026-01-17
혼자가 더 편한 회피형 특징,놀면서 배우는 심리학,@user-eg3zw3rs5l,이상한데도 손절하지 않고 뒷담화 하면서 계속 만나는 사람들이 더 이상해보임. 웃긴건 그런 사람들은 서로 뒷담화 하고 필요할때만 만나서 서로 이득 챙기더라. 회피형이 외곬수 같은 면이 보일지언정 앞뒤 다른짓은 안함.,1539,34,자기서사,자기서사|자기참조,119,2024-08-03
인간관계에 지쳐서 혼자가 편한 사람들의 특징,놀면서 배우는 심리학,@Bee-xm2up,이제 인간관계에 지쳐서 그냥 나한테만 집중하다보니 그게 편하고 나혼자 바쁨. 어차피 정상인들 별로 없고 좋은 사람보다 나쁜놈들 널려서 지긋지긋함,1537,32,자기참조,자기참조,80,2025-09-02
"혼자 있을 때 더 편안한 사람, 알고보니 '이 유형' 입니다 (김경일 교수님 통합본)",책과삶,@杉康,맘에안드는 선물받고 좋아하는척 하기도싫고 받았으니 돌려줘야하는 행위도싫고 귀찮다 집에서 청소하고 목욕하고 쉬고싶다,1525,43,기타,,63,2026-05-02
가족과 사는 게 즐겁다고? '행복한 사람'은 절대 무작정 결혼하지 않습니다! | 김경일 심리학과 교수 1부,"꿈을 찾는 사람들 강연,강의,강사,꿈찾사",@user-wk4jl7gu6,저는 일가를 이루지는 않았는데요.. 제가 좀 살면서 느낀건데 부모 형제지간은 가끔씩 짧게 만나서 해산하는 게 가장 좋은 거 같더라고요.. 그리고 혼자 사는 게.. 혼자 있는 게.. 너무나 좋습니다,1509,20,자기서사,자기서사|자기참조,109,2023-04-13
혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@hyeoniiiiiiiii,"혼자 있으면 좀 외로운데, 누구랑 같이 있는건 괴로움ㅠㅠ",1499,22,위안,위안,31,2023-10-17
